datetimeStr,wdir ( - ) ,temp (degC) ,maxt (degC) ,visibility (km) ,wspd (kph) ,solarenergy (J/m^2) ,heatindex (degC) ,cloudcover (%) ,mint (degC) ,datetime ( - ) ,precip (mm) ,solarradiation (W/m^2) ,weathertype ( - ) ,snowdepth (cm) ,sealevelpressure (mb) ,snow (cm) ,dew (degC) ,humidity (%) ,precipcover (%) ,wgust (kph) ,conditions ( - ) ,windchill (degC) ,info ( - ) 
2020-07-01 00:00:00+02:00,230.0,30.1,30.1,20.0,7.6,,28.5,,30.1,1593561600000,0.0,,,0.0,1009.2,0.0,7.9,24.96,,,Clear,,
2020-07-01 01:00:00+02:00,230.0,28.7,28.7,20.0,9.4,,27.5,,28.7,1593565200000,0.0,,,0.0,1010.1,0.0,8.4,27.99,,,Clear,,
2020-07-01 02:00:00+02:00,240.0,27.4,27.4,20.0,13.0,,26.7,,27.4,1593568800000,0.0,,Mist,0.0,1010.4,0.0,9.2,31.88,,,Clear,,
2020-07-01 03:00:00+02:00,250.0,26.4,26.4,20.0,3.6,,,,26.4,1593572400000,0.0,,,0.0,1010.5,0.0,10.9,37.88,,,Clear,,
2020-07-01 04:00:00+02:00,250.0,25.4,25.4,20.0,11.2,,,,25.4,1593576000000,0.0,,,0.0,1010.6,0.0,11.7,42.38,,,Clear,,
2020-07-01 05:00:00+02:00,230.0,24.6,24.6,20.0,7.6,,,,24.6,1593579600000,0.0,,,0.0,1011.1,0.0,11.4,43.58,,,Clear,,
2020-07-01 06:00:00+02:00,250.0,23.9,23.9,20.0,9.4,,,,23.9,1593583200000,0.0,,,0.0,1011.5,0.0,11.9,46.97,,,Clear,,
2020-07-01 07:00:00+02:00,242.0,22.7,22.7,12.7,12.3,0.0,,,22.7,1593586800000,0.0,9.0,,0.0,1013.6,0.0,12.2,51.21,,,Clear,,
2020-07-01 08:00:00+02:00,236.0,23.3,23.3,12.7,11.0,0.3,,,23.3,1593590400000,0.0,75.0,Mist,0.0,1013.9,0.0,12.7,51.52,,,Clear,,
2020-07-01 09:00:00+02:00,236.0,25.4,25.4,12.7,12.5,1.0,,,25.4,1593594000000,0.0,278.0,,0.0,1014.3,0.0,12.0,43.2,,,Clear,,
2020-07-01 10:00:00+02:00,256.0,27.4,27.4,12.7,13.3,1.7,27.1,,27.4,1593597600000,0.0,462.0,,0.0,1014.2,0.0,12.1,38.54,,,Clear,,
2020-07-01 11:00:00+02:00,255.0,29.6,29.6,12.7,13.8,2.3,28.7,0.0,29.6,1593601200000,0.0,643.0,,0.0,1013.8,0.0,12.0,33.62,,,Clear,,
2020-07-01 12:00:00+02:00,249.0,31.1,31.1,12.7,15.8,2.8,29.7,,31.1,1593604800000,0.0,781.0,,0.0,1013.7,0.0,10.2,27.49,,,Clear,,
2020-07-01 13:00:00+02:00,251.0,32.4,32.4,12.7,16.9,3.2,30.7,,32.4,1593608400000,0.0,876.0,,0.0,1013.4,0.0,9.5,24.41,,,Clear,,
2020-07-01 14:00:00+02:00,256.0,33.2,33.2,14.0,19.5,3.3,31.3,0.0,33.2,1593612000000,0.0,920.0,,0.0,1012.7,0.0,9.1,22.76,,,Clear,,
2020-07-01 15:00:00+02:00,258.0,34.4,34.4,12.7,18.0,3.3,32.5,,34.4,1593615600000,0.0,917.0,,0.0,1012.4,0.0,8.6,20.47,,,Clear,,
2020-07-01 16:00:00+02:00,269.0,35.1,35.1,12.7,18.9,3.1,32.9,27.9,35.1,1593619200000,0.0,869.0,,0.0,1012.2,0.0,7.1,17.83,,,Partially cloudy,,
2020-07-01 17:00:00+02:00,266.0,35.1,35.1,12.7,19.5,2.8,32.8,17.6,35.1,1593622800000,0.0,764.0,,0.0,1012.0,0.0,5.9,16.34,,,Clear,,
2020-07-01 18:00:00+02:00,264.0,35.5,35.5,12.7,19.8,2.2,33.2,,35.5,1593626400000,0.0,612.0,,0.0,1011.4,0.0,5.8,15.92,,46.4,Clear,,
2020-07-01 19:00:00+02:00,258.0,35.1,35.1,12.7,16.4,0.8,32.8,,35.1,1593630000000,0.0,228.0,,0.0,1011.3,0.0,5.5,15.94,,,Clear,,
